time,open,high,low,close,volume,signal,Date
1458320400,1.12964,1.12968,1.12807,1.12908,6151,0,2016-03-18 17:00:00
1440050400,1.11313,1.11366,1.11303,1.11336,1890,0,2015-08-20 06:00:00
1724439600,1.11746,1.1178,1.11635,1.11731,4046,0,2024-08-23 19:00:00
1450382400,1.0818,1.08205,1.08059,1.08074,3954,0,2015-12-17 20:00:00
1710151200,1.0941,1.09472,1.09377,1.09437,4756,0,2024-03-11 10:00:00
1446606000,1.09558,1.09572,1.09437,1.09463,2998,-1,2015-11-04 03:00:00
1729724400,1.07848,1.07854,1.07809,1.07809,1563,0,2024-10-23 23:00:00
1440709200,1.12543,1.12667,1.12461,1.1266,6311,0,2015-08-27 21:00:00
1533679200,1.15933,1.15989,1.15899,1.15965,1407,-1,2018-08-07 22:00:00
1599778800,1.18162,1.18184,1.18093,1.1813,601,-1,2020-09-10 23:00:00
1542261600,1.13293,1.13412,1.13265,1.13371,1464,-1,2018-11-15 06:00:00
1458813600,1.11601,1.1176,1.11482,1.11647,7224,0,2016-03-24 10:00:00
1670583600,1.05603,1.05654,1.05461,1.05564,6846,0,2022-12-09 11:00:00
1447887600,1.06509,1.06595,1.06507,1.06586,1704,0,2015-11-18 23:00:00
1649066400,1.10387,1.10418,1.10267,1.10305,4376,0,2022-04-04 10:00:00
1689044400,1.10045,1.10078,1.10005,1.10056,1600,0,2023-07-11 03:00:00
1734400800,1.05159,1.05333,1.05141,1.05277,2108,0,2024-12-17 02:00:00
1494856800,1.0969,1.09726,1.09634,1.09651,1246,0,2017-05-15 14:00:00
1714356000,1.07009,1.07062,1.06994,1.0706,1046,0,2024-04-29 02:00:00
1516345200,1.22617,1.22628,1.22523,1.22599,2019,-1,2018-01-19 07:00:00
1453230000,1.09036,1.09309,1.08999,1.09265,5868,0,2016-01-19 19:00:00
1459447200,1.1397,1.13979,1.13786,1.1389,7687,0,2016-03-31 18:00:00
1563980400,1.11402,1.11462,1.11384,1.11411,2397,0,2019-07-24 15:00:00
1629075600,1.17931,1.17999,1.17907,1.17925,481,0,2021-08-16 01:00:00
1644822000,1.13443,1.13515,1.13413,1.13507,948,0,2022-02-14 07:00:00
1701835200,1.0791,1.07927,1.07872,1.07912,1847,0,2023-12-06 04:00:00
1731621600,1.05467,1.05484,1.0511,1.05194,9616,0,2024-11-14 22:00:00
1558994400,1.11893,1.11918,1.11893,1.11909,149,0,2019-05-27 22:00:00
1617793200,1.18775,1.18866,1.18651,1.18854,2361,0,2021-04-07 11:00:00
1613624400,1.2043,1.20441,1.2035,1.20359,736,0,2021-02-18 05:00:00
1686074400,1.06899,1.0696,1.06839,1.06937,2652,0,2023-06-06 18:00:00
1563246000,1.12593,1.12623,1.12567,1.12576,823,0,2019-07-16 03:00:00
1681250400,1.09069,1.0916,1.09065,1.09132,1287,0,2023-04-11 22:00:00
1426564800,1.05588,1.05724,1.0558,1.057,2660,0,2015-03-17 04:00:00
1700474400,1.09152,1.09287,1.09144,1.09182,4357,0,2023-11-20 10:00:00
1595962800,1.17311,1.17364,1.17273,1.17338,1589,0,2020-07-28 19:00:00
1657508400,1.01667,1.01667,1.01524,1.01537,3067,0,2022-07-11 03:00:00
1485172800,1.07249,1.07442,1.07249,1.07368,4633,0,2017-01-23 12:00:00
1508166000,1.1805,1.18083,1.17952,1.18061,6045,0,2017-10-16 15:00:00
1721707200,1.08887,1.08931,1.08865,1.08878,1383,0,2024-07-23 04:00:00
1558080000,1.11786,1.11793,1.11699,1.11723,939,0,2019-05-17 08:00:00
1589382000,1.0876,1.08804,1.08705,1.08783,2525,0,2020-05-13 15:00:00
1438714800,1.09523,1.09623,1.09481,1.09615,4050,0,2015-08-04 19:00:00
1701327600,1.0968,1.09722,1.09642,1.09712,1500,0,2023-11-30 07:00:00
1504756800,1.19219,1.19235,1.19184,1.1923,4764,0,2017-09-07 04:00:00
1616652000,1.18223,1.18232,1.18179,1.18199,874,0,2021-03-25 06:00:00
1506996000,1.17378,1.17389,1.17305,1.17308,1675,0,2017-10-03 02:00:00
1433833200,1.13156,1.13185,1.13078,1.13097,2295,0,2015-06-09 07:00:00
1513022400,1.1791,1.17931,1.17828,1.1791,1898,0,2017-12-11 20:00:00
1639008000,1.13411,1.1345,1.13395,1.1341,209,0,2021-12-09 00:00:00
1690826400,1.10241,1.10287,1.10113,1.10173,4012,0,2023-07-31 18:00:00
1473249600,1.12389,1.12428,1.12354,1.12384,4352,1,2016-09-07 12:00:00
1734688800,1.03816,1.03974,1.0377,1.03913,5104,1,2024-12-20 10:00:00
1468238400,1.10255,1.10337,1.10202,1.10315,4338,1,2016-07-11 12:00:00
1520978400,1.23845,1.23929,1.23837,1.23884,1254,0,2018-03-13 22:00:00
1695301200,1.06525,1.0662,1.06462,1.06496,3037,0,2023-09-21 13:00:00
1566424800,1.10851,1.10886,1.10803,1.10841,2726,0,2019-08-21 22:00:00
1707462000,1.07701,1.07731,1.07686,1.07702,785,0,2024-02-09 07:00:00
1669928400,1.0507,1.05194,1.04953,1.05177,6337,0,2022-12-01 21:00:00
1660809600,1.0166,1.01776,1.01622,1.01637,2113,0,2022-08-18 08:00:00
1690549200,1.09726,1.09957,1.09696,1.09927,2577,0,2023-07-28 13:00:00
1553497200,1.12974,1.13035,1.12974,1.13024,983,0,2019-03-25 07:00:00
1622642400,1.21727,1.21794,1.21633,1.21792,2184,0,2021-06-02 14:00:00
1698652800,1.05607,1.05648,1.05556,1.05641,1650,0,2023-10-30 08:00:00
1724292000,1.11552,1.11571,1.11521,1.11541,821,0,2024-08-22 02:00:00
1643389200,1.11566,1.11666,1.11374,1.11633,4676,0,2022-01-28 17:00:00
1682715600,1.10229,1.10251,1.10144,1.10162,2179,0,2023-04-28 21:00:00
1669248000,1.03944,1.03983,1.03903,1.03935,717,0,2022-11-24 00:00:00
1649433600,1.0852,1.08572,1.08356,1.08393,5064,0,2022-04-08 16:00:00
1607313600,1.2134,1.21395,1.21318,1.21357,1027,0,2020-12-07 04:00:00
1442588400,1.14302,1.14303,1.14093,1.14218,7342,0,2015-09-18 15:00:00
1511564400,1.19298,1.19379,1.19246,1.19309,7780,0,2017-11-24 23:00:00
1598040000,1.17715,1.1785,1.17688,1.17839,1313,0,2020-08-21 20:00:00
1493852400,1.08945,1.08948,1.08821,1.08848,694,0,2017-05-03 23:00:00
1465441200,1.14018,1.14068,1.13983,1.13986,2744,0,2016-06-09 03:00:00
1679878800,1.07678,1.07791,1.07641,1.07765,2236,0,2023-03-27 01:00:00
1499101200,1.13712,1.13729,1.13589,1.13671,2125,0,2017-07-03 17:00:00
1698051600,1.05764,1.05855,1.05705,1.05816,2221,0,2023-10-23 09:00:00
1566943200,1.10921,1.10921,1.10875,1.10891,1192,1,2019-08-27 22:00:00
1449039600,1.06133,1.06143,1.06105,1.06114,1306,0,2015-12-02 07:00:00
1707512400,1.07858,1.0787,1.07805,1.07816,1725,0,2024-02-09 21:00:00
1677808800,1.05973,1.06109,1.05958,1.06098,1444,0,2023-03-03 02:00:00
1492106400,1.06233,1.06335,1.06208,1.06291,1162,0,2017-04-13 18:00:00
1714633200,1.07137,1.07195,1.07133,1.07167,874,0,2024-05-02 07:00:00
1654102800,1.07075,1.07075,1.06507,1.06665,7549,0,2022-06-01 17:00:00
1634018400,1.15555,1.15599,1.15555,1.15588,652,-1,2021-10-12 06:00:00
1719885600,1.07362,1.07367,1.07348,1.07355,388,0,2024-07-02 02:00:00
1724900400,1.11237,1.11316,1.11232,1.11305,1433,0,2024-08-29 03:00:00
1503424800,1.17619,1.17712,1.17605,1.17612,4833,-1,2017-08-22 18:00:00
1626976800,1.17904,1.17913,1.17633,1.17665,2686,0,2021-07-22 18:00:00
1509944400,1.16164,1.16175,1.16103,1.16132,2170,0,2017-11-06 05:00:00
1720458000,1.08402,1.08438,1.08312,1.08337,4021,0,2024-07-08 17:00:00
1677013200,1.06418,1.06516,1.06389,1.06477,2667,0,2023-02-21 21:00:00
1438912800,1.09254,1.09268,1.09211,1.09219,1023,0,2015-08-07 02:00:00
1453723200,1.08149,1.08235,1.08127,1.08143,4969,0,2016-01-25 12:00:00
1585828800,1.09182,1.0939,1.0914,1.09342,3434,0,2020-04-02 12:00:00
1630378800,1.17958,1.18024,1.17946,1.18014,906,0,2021-08-31 03:00:00
1540274400,1.14606,1.14606,1.14524,1.14536,1205,0,2018-10-23 06:00:00
1440532800,1.14224,1.14455,1.14133,1.14337,8110,0,2015-08-25 20:00:00
1484769600,1.06823,1.06827,1.06627,1.06657,4183,0,2017-01-18 20:00:00
1698408000,1.0561,1.05646,1.05593,1.05636,2452,0,2023-10-27 12:00:00
1452117600,1.07878,1.07989,1.07794,1.07865,4565,0,2016-01-06 22:00:00
1470661200,1.10911,1.10926,1.10801,1.10802,4434,0,2016-08-08 13:00:00
1614740400,1.20855,1.20925,1.20842,1.20908,1076,0,2021-03-03 03:00:00
1555653600,1.12356,1.12363,1.12356,1.1236,156,0,2019-04-19 06:00:00
1532941200,1.16631,1.16631,1.16519,1.16542,2683,0,2018-07-30 09:00:00
1537246800,1.16792,1.16837,1.16756,1.16805,1124,0,2018-09-18 05:00:00
1518706800,1.24751,1.24942,1.24612,1.2473,10149,0,2018-02-15 15:00:00
1466704800,1.13483,1.13825,1.13396,1.13692,7311,0,2016-06-23 18:00:00
1665126000,0.9804,0.98065,0.97906,0.97906,3121,0,2022-10-07 07:00:00
1482411600,1.04642,1.04694,1.04453,1.04483,3917,0,2016-12-22 13:00:00
1634709600,1.1637,1.1645,1.16365,1.16431,711,0,2021-10-20 06:00:00
1498863600,1.14207,1.1423,1.14175,1.14203,717,0,2017-06-30 23:00:00
1688605200,1.08519,1.08562,1.08518,1.08521,521,0,2023-07-06 01:00:00
1631246400,1.18234,1.18241,1.18181,1.18207,950,0,2021-09-10 04:00:00
1451574000,1.08826,1.08944,1.08784,1.08867,4632,0,2015-12-31 15:00:00
1527228000,1.17073,1.17118,1.17054,1.17083,1363,0,2018-05-25 06:00:00
1529946000,1.1679,1.16896,1.16704,1.1687,6741,0,2018-06-25 17:00:00
1557892800,1.12029,1.12075,1.1202,1.12063,971,0,2019-05-15 04:00:00
1625486400,1.18696,1.18795,1.18687,1.18754,1414,0,2021-07-05 12:00:00
1729026000,1.08841,1.08894,1.08829,1.08863,2182,0,2024-10-15 21:00:00
1474952400,1.12479,1.12493,1.12418,1.12435,3004,0,2016-09-27 05:00:00
1565618400,1.11966,1.11976,1.11856,1.11879,3374,0,2019-08-12 14:00:00
1449252000,1.0887,1.08987,1.08734,1.08827,9718,1,2015-12-04 18:00:00
1679086800,1.068,1.0682,1.066,1.06604,3163,0,2023-03-17 21:00:00
1694728800,1.06342,1.06434,1.06336,1.06419,2140,0,2023-09-14 22:00:00
1581372000,1.09133,1.09145,1.09069,1.09116,847,0,2020-02-10 22:00:00
1463522400,1.13163,1.13217,1.1314,1.1314,1899,-1,2016-05-17 22:00:00
1446231600,1.10193,1.10242,1.10104,1.10166,4596,0,2015-10-30 19:00:00
1521745200,1.23056,1.23101,1.22912,1.23017,4682,0,2018-03-22 19:00:00
1503442800,1.17592,1.17634,1.17567,1.17604,2395,0,2017-08-22 23:00:00
1606104000,1.18759,1.18759,1.18713,1.18736,569,0,2020-11-23 04:00:00
1572004800,1.11201,1.11221,1.11126,1.11146,1054,0,2019-10-25 12:00:00
1733126400,1.05209,1.05353,1.05203,1.05319,3877,0,2024-12-02 08:00:00
1726200000,1.10861,1.1088,1.10793,1.10807,1742,0,2024-09-13 04:00:00
1629306000,1.17177,1.17186,1.17057,1.17107,2329,0,2021-08-18 17:00:00
1699322400,1.07174,1.07184,1.07108,1.07129,1053,1,2023-11-07 02:00:00
1468375200,1.10624,1.10664,1.10579,1.10593,1504,0,2016-07-13 02:00:00
1632466800,1.17403,1.17412,1.17352,1.17362,458,0,2021-09-24 07:00:00
1586152800,1.08109,1.08212,1.08098,1.08141,2023,0,2020-04-06 06:00:00
1733457600,1.05677,1.05772,1.05673,1.0576,2262,0,2024-12-06 04:00:00
1734505200,1.05021,1.05039,1.04991,1.05014,1653,0,2024-12-18 07:00:00
1692936000,1.07936,1.07941,1.07863,1.07881,2023,0,2023-08-25 04:00:00
1628636400,1.17179,1.172,1.1714,1.1714,339,-1,2021-08-10 23:00:00
1609257600,1.22528,1.22742,1.22494,1.22664,2028,0,2020-12-29 16:00:00
1608224400,1.225,1.22601,1.22398,1.22443,2538,0,2020-12-17 17:00:00
1572278400,1.10934,1.10971,1.10898,1.1091,1937,0,2019-10-28 16:00:00
1590674400,1.10065,1.1019,1.09993,1.1006,2126,0,2020-05-28 14:00:00
1639987200,1.12534,1.12552,1.12473,1.12511,1383,0,2021-12-20 08:00:00
1637755200,1.12072,1.12185,1.12025,1.12078,2817,0,2021-11-24 12:00:00
1564380000,1.11311,1.11315,1.11279,1.11281,528,1,2019-07-29 06:00:00
1565650800,1.12119,1.12151,1.12109,1.1212,705,1,2019-08-12 23:00:00
1714532400,1.06653,1.06662,1.0657,1.06605,1668,1,2024-05-01 03:00:00
1643785200,1.12737,1.1275,1.12701,1.12723,517,0,2022-02-02 07:00:00
1464372000,1.11332,1.11408,1.1125,1.11385,5249,0,2016-05-27 18:00:00
1579773600,1.10884,1.10888,1.10814,1.10829,1514,0,2020-01-23 10:00:00
1689120000,1.10069,1.10079,1.09972,1.10037,225,0,2023-07-12 00:00:00
1584460800,1.0994,1.10137,1.09545,1.09696,6892,0,2020-03-17 16:00:00
1593025200,1.12697,1.12798,1.12658,1.12772,2073,0,2020-06-24 19:00:00
1671454800,1.06185,1.06188,1.06035,1.06053,5743,0,2022-12-19 13:00:00
1467410400,1.11249,1.11389,1.11222,1.11338,3084,0,2016-07-01 22:00:00
1539028800,1.1479,1.14913,1.14702,1.14887,1696,0,2018-10-08 20:00:00
1695250800,1.0658,1.06618,1.06494,1.06596,1645,0,2023-09-20 23:00:00
1514419200,1.18852,1.19015,1.18852,1.18981,2677,0,2017-12-28 00:00:00
1639148400,1.12781,1.13082,1.12658,1.12929,4426,0,2021-12-10 15:00:00
1509994800,1.1598,1.1613,1.15976,1.16109,6087,0,2017-11-06 19:00:00
1545350400,1.14444,1.14521,1.14415,1.14478,1018,0,2018-12-21 00:00:00
1543388400,1.12948,1.12975,1.12926,1.12937,1343,0,2018-11-28 07:00:00
1622811600,1.21149,1.21171,1.21031,1.21066,1376,0,2021-06-04 13:00:00
1537920000,1.17649,1.17689,1.17607,1.17642,782,0,2018-09-26 00:00:00
1535436000,1.16748,1.16769,1.16697,1.16733,1065,0,2018-08-28 06:00:00
1661367600,0.99663,0.9973,0.9944,0.99524,3496,1,2022-08-24 19:00:00
1642446000,1.14088,1.14151,1.14078,1.1411,922,0,2022-01-17 19:00:00
1714957200,1.07627,1.07633,1.07604,1.07613,398,0,2024-05-06 01:00:00
1425348000,1.11757,1.11848,1.11757,1.11815,1862,0,2015-03-03 02:00:00
1712941200,1.06419,1.06453,1.06216,1.0629,7095,0,2024-04-12 17:00:00
